timestamp,sensor1,sensor2
2,826,365
53,788,366
105,770,378
157,761,422
209,766,424
261,776,436
312,778,432
364,782,410
416,786,389
468,781,376
519,784,389
571,799,404
623,851,411
675,829,413
726,775,419
778,760,427
830,770,414
882,779,397
933,787,386
985,778,362
1037,779,369
1089,779,384
1141,775,399
1192,784,435
1244,813,443
1296,858,428
1348,799,384
1399,753,377
1451,748,379
1503,764,384
1555,774,374
1606,777,411
1658,777,430
1710,779,446
1762,781,431
1813,780,414
1865,780,393
1917,802,377
1969,870,372
2021,819,383
2072,768,390
2124,762,416
2176,774,423
2228,788,445
2279,787,433
2331,784,418
2383,776,389
2435,779,327
2487,782,361
2538,786,338
2590,790,398
2642,831,434
2694,845,436
2745,784,411
2797,760,415
2849,762,394
2901,781,390
2952,787,375
3004,781,385
3056,781,384
3108,784,416
3160,791,444
3211,790,458
3263,783,428
3315,797,400
3367,832,374
3418,823,360
3470,790,365
3522,776,387
3574,786,391
3626,799,420
3677,798,433
3729,801,433
3781,803,430
3833,794,403
3884,801,337
3936,797,355
3988,797,363
4040,811,398
4092,826,431
4143,820,382
4195,799,408
4247,793,418
4299,798,419
4350,796,379
4402,803,379
4454,798,365
4506,794,362
4557,795,375
4609,793,416
4661,791,420
4713,784,444
4765,796,428
4816,818,399
4868,803,386
4920,790,358
4972,789,376
5023,793,399
5075,800,416
5127,800,431
5179,792,435
5231,784,419
5282,788,424
5334,789,388
5386,793,386
5438,799,383
5489,819,390
5541,818,407
5593,798,413
5645,784,424
5697,786,428
5748,790,437
5800,792,399
5852,790,368
5904,789,367
5955,792,370
6007,789,377
6059,793,400
6111,798,421
6162,810,445
6214,821,435
6266,809,404
6318,790,388
6370,781,386
6421,794,374
6473,800,391
6525,796,390
6577,786,422
6628,785,424
6680,789,441
6732,786,425
6784,790,410
6835,810,374
6887,819,374
6939,801,368
6991,783,394
7043,779,408
7094,782,433
7146,788,451
7198,789,419
7250,788,419
7301,784,409
7353,784,377
7405,788,363
7457,788,367
7509,804,348
7560,821,410
7612,808,440
7664,782,446
7716,775,419
7767,778,396
7819,791,391
7871,798,390
7923,789,375
7975,783,381
8026,790,396
8078,787,421
8130,785,427
8182,796,426
8233,827,429
8285,815,403
8337,788,381
8389,779,379
8440,791,384
8492,791,385
8544,786,407
8596,785,434
8648,783,434
8699,787,426
8751,787,423
8803,791,391
8855,798,388
8906,821,382
8958,805,369
9010,776,379
9062,768,406
9114,782,428
9165,789,440
9217,792,443
9269,781,366
9321,781,324
9372,777,347
9424,779,361
9476,793,377
9528,798,389
9579,807,416
9631,792,432
9683,772,414
9735,774,409
9787,778,403
9838,784,385
9890,787,359
9942,784,380
9994,785,398
