timestamp,sensor1,sensor2
1,404,273
53,403,273
105,408,276
157,407,277
208,407,275
260,409,279
312,407,278
364,402,274
415,409,277
467,410,278
519,404,272
571,405,273
622,402,271
674,404,272
726,410,277
778,409,283
829,409,282
881,406,281
933,409,284
985,404,277
1037,405,279
1088,410,281
1140,407,276
1192,409,273
1244,413,281
1295,407,276
1347,408,276
1399,403,273
1451,402,273
1502,410,277
1554,411,280
1606,414,279
1658,412,278
1709,406,275
1761,405,276
1813,408,276
1865,408,278
1917,404,270
1968,410,284
2020,410,283
2072,406,275
2124,405,272
2175,406,280
2227,409,284
2279,410,285
2331,406,280
2382,409,284
2434,404,275
2486,408,281
2538,403,275
2589,411,285
2641,409,282
2693,409,282
2745,410,283
2797,407,281
2848,404,276
2900,404,275
2952,407,276
3004,413,287
3055,411,283
3107,412,284
3159,413,285
3211,417,284
3263,415,286
3314,415,286
3366,412,283
3418,416,287
3470,410,279
3521,409,278
3573,406,279
3625,408,274
3677,403,273
3728,401,275
3780,404,273
3832,404,275
3884,403,276
3936,404,275
3987,403,280
4039,404,278
4091,405,276
4143,405,276
4194,405,276
4246,404,274
4298,406,274
4350,406,278
4401,406,277
4453,409,276
4505,412,280
4557,410,276
4609,409,278
4660,410,280
4712,408,278
4764,408,277
4816,407,278
4867,410,277
4919,407,276
4971,405,273
5023,406,276
5075,411,278
5126,410,278
5178,414,280
5230,412,280
5282,410,278
5333,410,278
5385,408,276
5437,408,276
5489,406,273
5540,408,275
5592,408,278
5644,407,277
5696,410,277
5748,411,276
5799,411,276
5851,411,278
5903,413,277
5955,410,278
6006,410,276
6058,410,278
6110,409,274
6162,408,276
6213,409,277
6265,410,275
6317,411,277
6369,412,279
6421,411,278
6472,415,281
6524,415,284
6576,417,283
6628,417,285
6679,416,283
6731,417,279
6783,417,284
6835,417,287
6886,417,283
6938,414,280
6990,415,282
7042,415,279
7094,412,280
7145,415,286
7197,416,288
7249,419,287
7301,418,289
7352,416,290
7404,416,289
7456,417,289
7508,414,284
7559,414,281
7611,412,279
7663,409,278
7715,409,278
7767,409,277
7818,409,273
7870,409,277
7922,408,277
7974,411,277
8025,410,278
8077,411,277
8129,408,277
8181,408,277
8232,411,278
8284,412,277
8336,410,276
8388,411,280
8440,415,278
8491,415,281
8543,415,283
8595,415,280
8647,413,279
8698,418,288
8750,418,283
8802,418,286
8854,419,289
8905,419,288
8957,421,288
9009,422,286
9061,419,287
9113,419,286
9164,418,286
9216,420,289
9268,418,288
9320,420,290
9371,418,287
9423,419,287
9475,421,288
9527,417,288
9578,422,289
9630,422,286
9682,421,289
9734,418,287
9786,412,284
9837,417,282
9889,416,282
9941,415,281
9993,419,285
