timestamp_ms,ppg1,ppg2
0,2952,3267
12,2973,2965
24,3020,2696
36,3073,2483
47,3121,2338
59,3165,2264
71,3197,2238
83,3236,2283
95,3257,2376
106,3282,2490
118,3309,2598
130,3319,2695
142,3325,2795
154,3334,2873
165,3352,2926
177,3387,2965
189,3437,3009
201,3501,3043
213,3541,3063
225,3572,3071
236,3579,3085
248,3577,3124
260,3546,3163
272,3497,3210
284,3438,3259
295,3397,3312
307,3321,3362
319,3239,3402
331,3147,3453
343,3052,3510
355,2985,3540
366,2960,3553
378,2968,3557
390,3003,3534
402,3074,3520
414,3158,3498
425,3235,3465
437,3293,3440
449,3335,3406
461,3358,3389
473,3373,3375
485,3378,3401
496,3380,3424
508,3386,3473
520,3419,3532
532,3471,3583
544,3513,3631
555,3562,3680
567,3611,3719
579,3642,3771
591,3670,3806
603,3703,3845
615,3711,3877
626,3715,3897
638,3710,3899
650,3696,3885
662,3697,3832
674,3689,3776
685,3672,3700
697,3663,3635
709,3655,3577
721,3651,3539
733,3631,3511
745,3613,3509
756,3606,3508
768,3584,3515
780,3574,3546
792,3559,3583
804,3546,3612
815,3527,3641
827,3511,3658
839,3508,3650
851,3492,3651
863,3482,3629
875,3471,3608
886,3463,3571
898,3464,3534
910,3470,3510
922,3473,3494
934,3495,3464
946,3514,3446
957,3536,3423
969,3552,3392
981,3563,3366
993,3552,3346
1005,3559,3323
1016,3550,3302
1028,3540,3278
1040,3512,3262
1052,3469,3258
1064,3425,3248
1076,3386,3257
1087,3356,3268
1099,3319,3264
1111,3289,3260
1123,3266,3253
1135,3253,3240
1147,3252,3237
1158,3262,3255
1170,3282,3281
1182,3302,3306
1194,3335,3344
1206,3380,3392
1217,3409,3439
1229,3441,3483
1241,3456,3522
1253,3470,3549
1265,3477,3570
1277,3462,3578
1288,3454,3576
1300,3435,3565
1312,3419,3552
1324,3398,3538
1336,3395,3531
1347,3401,3509
1359,3402,3497
1371,3405,3486
1383,3406,3470
1395,3413,3463
1407,3415,3452
1418,3406,3446
1430,3407,3431
1442,3397,3422
1454,3386,3395
1466,3363,3378
1478,3337,3349
1489,3329,3332
1501,3316,3307
1513,3324,3299
1525,3321,3281
1537,3319,3274
1549,3331,3256
1560,3332,3249
1572,3342,3237
1584,3347,3244
1596,3366,3250
1608,3375,3252
1619,3385,3259
1631,3394,3254
1643,3379,3269
1655,3362,3272
1667,3346,3267
1679,3330,3254
1690,3323,3254
1702,3306,3246
1714,3286,3235
1726,3291,3230
1738,3293,3220
1750,3296,3216
1761,3288,3213
1773,3277,3226
1785,3276,3237
1797,3256,3227
1809,3261,3226
1820,3250,3223
1832,3242,3217
1844,3241,3198
1856,3233,3190
1868,3237,3164
1880,3247,3145
1891,3251,3128
1903,3275,3120
1915,3291,3125
1927,3301,3136
1939,3306,3137
1950,3294,3153
1962,3288,3173
1974,3266,3190
1986,3239,3218
1998,3227,3268
2010,3206,3305
2021,3201,3358
2033,3230,3418
2045,3255,3469
2057,3293,3515
2069,3342,3543
2081,3385,3586
2092,3427,3594
2104,3450,3616
2116,3463,3613
2128,3462,3618
2140,3448,3609
2151,3438,3591
2163,3413,3557
2175,3412,3531
2187,3400,3503
2199,3386,3475
2211,3374,3453
2222,3364,3441
2234,3355,3430
2246,3348,3410
2258,3319,3422
2270,3294,3429
2282,3290,3451
2293,3290,3477
2305,3283,3489
2317,3296,3513
2329,3305,3534
2341,3336,3547
2353,3348,3547
2364,3367,3529
2376,3382,3508
2388,3377,3462
2400,3375,3419
2412,3364,3366
2423,3339,3316
2435,3314,3269
2447,3307,3237
2459,3298,3214
2471,3286,3189
2483,3284,3194
2494,3288,3194
2506,3296,3203
2518,3294,3203
2530,3297,3197
2542,3294,3187
2553,3267,3167
2565,3261,3149
2577,3231,3142
2589,3222,3132
2601,3210,3137
2613,3199,3142
2624,3193,3148
2636,3202,3149
2648,3215,3163
2660,3225,3156
2672,3248,3167
2684,3259,3170
2695,3271,3164
2707,3283,3156
2719,3301,3147
2731,3298,3139
2743,3295,3146
2755,3292,3125
2766,3283,3110
2778,3280,3110
2790,3259,3101
2802,3222,3082
2814,3210,3090
2826,3188,3098
2837,3182,3099
2849,3183,3109
2861,3184,3109
2873,3214,3131
2885,3227,3140
2897,3234,3147
2908,3243,3141
2920,3237,3133
2932,3238,3126
2944,3231,3126
2956,3213,3142
2967,3214,3160
2979,3220,3201
2991,3210,3240
3003,3213,3305
3015,3213,3380
3027,3233,3450
3038,3245,3506
3050,3256,3541
3062,3280,3583
3074,3306,3588
3086,3330,3585
3098,3335,3583
3109,3340,3561
3121,3336,3541
3133,3331,3511
3145,3324,3474
3157,3310,3438
3168,3308,3411
3180,3301,3402
3192,3301,3391
3204,3313,3414
3216,3324,3435
3228,3332,3448
3239,3349,3470
3251,3363,3466
3263,3384,3459
3275,3402,3449
3287,3411,3438
3299,3406,3409
3310,3410,3367
3322,3409,3341
3334,3403,3296
3346,3391,3266
3358,3392,3232
3370,3373,3213
3381,3356,3192
3393,3324,3168
3405,3298,3161
3417,3274,3156
3429,3254,3169
3441,3248,3172
3452,3248,3172
3464,3253,3185
3476,3244,3183
3488,3251,3174
3500,3248,3189
3511,3249,3192
3523,3243,3196
3535,3241,3193
3547,3226,3200
3559,3205,3190
3571,3203,3182
3582,3185,3174
3594,3172,3155
3606,3157,3139
3618,3151,3134
