timestamp_ms,ppg1,ppg2
0,22,22
12,20,23
23,18,22
35,26,28
47,24,22
59,21,20
71,22,25
82,25,21
94,23,22
106,27,21
118,26,22
130,25,19
141,24,21
153,22,21
165,21,26
177,26,21
189,20,19
200,24,19
212,27,24
224,23,22
236,27,20
248,25,19
259,23,20
271,20,24
283,31,21
295,24,22
307,24,24
318,22,23
330,26,24
342,810,21
354,1781,21
366,2694,25
378,3440,19
389,3935,26
401,3932,25
413,3929,19
425,3928,25
437,3940,21
448,3932,22
460,3933,23
472,3933,24
484,3935,19
496,3931,24
507,3932,20
519,3929,24
531,3927,23
543,3872,23
555,3652,24
566,3419,25
578,3188,24
590,2950,19
602,2740,23
614,2549,20
625,2399,26
637,2286,22
649,2205,22
661,2160,24
673,2141,22
684,2135,21
696,2151,23
708,2158,24
720,2149,21
732,2123,24
743,2100,17
755,2070,23
767,2032,25
779,1995,20
791,1956,15
802,1911,20
814,1875,25
826,1841,21
838,1849,22
850,1862,21
861,1887,23
873,1913,20
885,1943,26
897,1977,24
909,2003,24
920,2033,27
932,2056,26
944,2077,22
956,2078,21
968,2081,23
979,2076,22
991,2061,21
1003,2048,21
1015,2044,21
1027,2034,23
1038,2030,24
1050,2031,20
1062,2022,25
1074,2024,20
1086,2014,24
1097,2008,25
1109,2000,22
1121,1988,25
1133,1983,22
1145,1990,20
1157,1992,26
1168,1988,24
1180,1987,23
1192,1990,23
1204,1987,22
1216,1988,24
1227,1984,30
1239,1981,21
1251,1986,23
1263,2005,24
1275,2019,19
1286,2043,23
1298,2045,24
1310,2065,36
1322,2066,21
1334,2061,21
1346,2056,22
1357,2046,24
1369,2037,24
1381,2035,26
1393,2039,26
1405,2048,22
1416,2050,25
1428,2060,24
1440,2060,24
1452,2064,24
1464,2060,24
1475,2070,26
1487,2067,24
1499,2069,20
1511,2073,21
1523,2078,25
1534,2079,25
1546,2080,23
1558,2082,24
1570,2080,24
1582,2085,22
1594,2076,24
1605,2069,23
1617,2066,22
1629,2068,25
1641,2066,25
1653,2065,21
1664,2071,23
1676,2072,19
1688,2063,21
1700,2054,23
1712,2040,22
1723,2025,22
1735,2015,23
1747,2004,23
1759,1991,24
1771,1985,23
1783,1979,21
1794,1978,22
1806,1988,19
1818,1996,21
1830,2013,20
1842,2015,14
1853,2027,21
1865,2037,24
1877,2037,21
1889,2035,21
1901,2019,22
1912,2012,16
1924,1995,22
1936,1996,22
1948,1972,29
1960,1960,20
1972,1947,23
1983,1963,26
1995,1967,23
2007,1982,23
2019,1984,25
2031,1997,21
2042,2002,27
2054,2012,20
2066,2010,20
2078,2006,23
2090,2000,23
2101,2000,17
2113,1999,22
2125,2002,24
2137,2004,22
2149,2009,24
2161,2015,22
2172,2015,22
2184,2019,24
2196,2022,26
2208,2040,23
2220,2048,20
2231,2046,19
2243,2049,19
2255,2049,23
2267,2047,25
2279,2042,26
2291,2042,25
2302,2043,23
2314,2048,24
2326,2048,25
2338,2053,25
2350,2063,20
2361,2072,12
2373,2082,25
2385,2089,25
2397,2089,19
2409,2080,26
2420,2062,22
2432,2045,21
2444,2039,24
2456,2031,22
2468,2032,28
2479,2035,26
2491,2046,26
2503,2049,24
2515,2053,23
2527,2047,21
2539,2046,24
2550,2042,40
2562,2044,22
2574,2046,24
2586,2049,22
2598,2045,25
2609,2049,22
2621,2043,26
2633,2037,26
2645,2036,23
2657,2024,23
2668,2006,20
2680,2000,29
2692,1987,21
2704,1981,21
2716,1982,28
2728,1994,24
2739,2009,21
2751,2027,26
2763,2049,22
2775,2056,615
2787,2065,1233
2798,2059,1821
2810,2051,2356
2822,2049,2919
2834,2033,3903
2846,2021,3910
2858,2009,3905
2869,1998,3909
2881,1982,3912
2893,1968,3914
2905,1953,3916
2917,1931,3914
2928,1914,3921
2940,1889,3919
2952,1853,3917
2964,1817,3913
2976,1780,3920
2988,1744,3913
2999,1724,3917
3011,1718,3912
3023,1728,3916
3035,1746,3918
3047,1777,3915
3059,1845,3918
