ptt_systolic_ms,ptt_diastolic_ms,pwv_systolic_m_s,pwv_diastolic_m_s,distance_cm,timestamp
11.0,12.0,6.363636363636364,5.833333333333334,7.0,2025-04-15 11:11:10
12.0,12.0,5.833333333333334,5.833333333333334,7.0,2025-04-15 11:11:10
12.0,12.0,5.833333333333334,5.833333333333334,7.0,2025-04-15 11:11:10
12.0,23.0,5.833333333333334,3.0434782608695654,7.0,2025-04-15 11:11:10
12.0,12.0,5.833333333333334,5.833333333333334,7.0,2025-04-15 11:11:10
12.0,12.0,5.833333333333334,5.833333333333334,7.0,2025-04-15 11:11:10
12.0,12.0,5.833333333333334,5.833333333333334,7.0,2025-04-15 11:11:10
12.0,23.0,5.833333333333334,3.0434782608695654,7.0,2025-04-15 11:11:10
12.0,11.0,5.833333333333334,6.363636363636364,7.0,2025-04-15 11:11:10
12.0,12.0,5.833333333333334,5.833333333333334,7.0,2025-04-15 11:11:10
12.0,12.0,5.833333333333334,5.833333333333334,7.0,2025-04-15 11:11:10
12.0,24.0,5.833333333333334,2.916666666666667,7.0,2025-04-15 11:11:10
11.0,24.0,6.363636363636364,2.916666666666667,7.0,2025-04-15 11:11:10
11.0,12.0,6.363636363636364,5.833333333333334,7.0,2025-04-15 11:11:10
12.0,11.0,5.833333333333334,6.363636363636364,7.0,2025-04-15 11:11:10
12.0,,5.833333333333334,,7.0,2025-04-15 11:11:10
12.0,,5.833333333333334,,7.0,2025-04-15 11:11:10
12.0,,5.833333333333334,,7.0,2025-04-15 11:11:10
12.0,,5.833333333333334,,7.0,2025-04-15 11:11:10
,,,,,
11.842105263157896,14.933333333333334,5.917065390749602,5.143170838823012,7.0,MEAN
0.36464227527765836,5.182877793487149,0.193370903556334,1.3165118081521097,,STD
